izoneareaid,level,vroleid,expchange,expreason,expsubreason,mapid,sumexp,,54939
1204,39,0X04B402013C336A85,133,20,0,21,58161,,
1204,39,0X04B402013C336A85,138,20,0,21,58437,,
1204,39,0X04B402013C336A85,133,20,0,21,58979,,
1204,39,0X04B402013C336A85,133,20,0,21,58570,,
1204,39,0X04B402013C336A85,138,20,0,21,58846,,
1204,39,0X04B402013C336A85,138,20,0,21,59117,,
1204,39,0X04B402013C336A85,138,20,0,21,58708,,
1204,39,0X04B402013C336A85,133,20,0,21,59383,,
1204,39,0X04B402013C336A85,133,20,0,21,59250,,
1204,39,0X04B402013C336A85,138,20,0,21,59521,,
1204,39,0X04B402013C336A85,133,20,0,21,59792,,
1204,39,0X04B402013C336A85,138,20,0,21,59659,,
1204,39,0X04B402013C336A85,138,20,0,21,59930,,
1204,39,0X04B402013C336A85,138,20,0,21,60068,,
1204,39,0X04B402013C336A85,138,20,0,21,60339,,
1204,39,0X04B402013C336A85,133,20,0,21,60201,,
1204,39,0X04B402013C336A85,133,20,0,21,60876,,
1204,39,0X04B402013C336A85,138,20,0,21,60610,,
1204,39,0X04B402013C336A85,133,20,0,21,60472,,
1204,39,0X04B402013C336A85,133,20,0,21,60743,,
1204,39,0X04B402013C336A85,138,20,0,21,61014,,
1204,39,0X04B402013C336A85,133,20,0,21,61147,,
1204,39,0X04B402013C336A85,138,20,0,21,61418,,
1204,39,0X04B402013C336A85,133,20,0,21,61280,,
1204,39,0X04B402013C336A85,133,20,0,21,103478,,
1204,39,0X04B402013C336A85,133,20,0,21,103611,,
1204,39,0X04B402013C336A85,138,20,0,21,103069,,
1204,39,0X04B402013C336A85,138,20,0,21,103207,,
1204,39,0X04B402013C336A85,138,20,0,21,103749,,
1204,39,0X04B402013C336A85,133,20,0,21,103882,,
1204,39,0X04B402013C336A85,133,20,0,21,104291,,
1204,39,0X04B402013C336A85,138,20,0,21,104020,,
1204,39,0X04B402013C336A85,138,20,0,21,104158,,
1204,39,0X04B402013C336A85,133,20,0,21,104424,,
1204,39,0X04B402013C336A85,138,20,0,21,104700,,
1204,39,0X04B402013C336A85,138,20,0,21,104562,,
1204,39,0X04B402013C336A85,133,20,0,21,104833,,
1204,39,0X04B402013C336A85,138,20,0,21,104971,,
1204,39,0X04B402013C336A85,133,20,0,21,105104,,
1204,39,0X04B402013C336A85,138,20,0,21,105513,,
1204,39,0X04B402013C336A85,138,20,0,21,105242,,
1204,39,0X04B402013C336A85,133,20,0,21,105375,,
1204,39,0X04B402013C336A85,133,20,0,21,105779,,
1204,39,0X04B402013C336A85,133,20,0,21,105646,,
1204,39,0X04B402013C336A85,138,20,0,21,106055,,
1204,39,0X04B402013C336A85,138,20,0,21,105917,,
1204,39,0X04B402013C336A85,133,20,0,21,106326,,
1204,39,0X04B402013C336A85,133,20,0,21,106459,,
1204,39,0X04B402013C336A85,138,20,0,21,106597,,
1204,39,0X04B402013C336A85,138,20,0,21,106193,,
1204,39,0X04B402013C336A85,133,20,0,21,107001,,
1204,38,0X04B402013C336A85,191,20,0,894,308359,,
1204,38,0X04B402013C336A85,191,20,0,894,308550,,
1204,38,0X04B402013C336A85,191,20,0,894,308741,,
1204,38,0X04B402013C336A85,960,20,0,894,309701,,
1204,38,0X04B402013C336A85,191,20,0,894,283132,,
1204,38,0X04B402013C336A85,191,20,0,894,283323,,
1204,38,0X04B402013C336A85,191,20,0,894,283514,,
1204,38,0X04B402013C336A85,191,20,0,894,283705,,
1204,38,0X04B402013C336A85,191,20,0,894,284469,,
1204,38,0X04B402013C336A85,191,20,0,894,285042,,
1204,38,0X04B402013C336A85,191,20,0,894,283896,,
1204,38,0X04B402013C336A85,191,20,0,894,284087,,
1204,38,0X04B402013C336A85,191,20,0,894,284851,,
1204,44,0X04B402013C336A85,140,20,0,21,208631,,
1204,44,0X04B402013C336A85,140,20,0,21,209185,,
1204,44,0X04B402013C336A85,134,20,0,21,208765,,
1204,44,0X04B402013C336A85,140,20,0,21,209045,,
1204,44,0X04B402013C336A85,140,20,0,21,208905,,
1204,44,0X04B402013C336A85,134,20,0,21,209593,,
1204,44,0X04B402013C336A85,140,20,0,21,209325,,
1204,44,0X04B402013C336A85,134,20,0,21,209459,,
1204,44,0X04B402013C336A85,140,20,0,21,209867,,
1204,44,0X04B402013C336A85,134,20,0,21,210001,,
1204,44,0X04B402013C336A85,134,20,0,21,209727,,
1204,44,0X04B402013C336A85,140,20,0,21,210141,,
1204,44,0X04B402013C336A85,140,20,0,21,210421,,
1204,44,0X04B402013C336A85,140,20,0,21,210281,,
1204,44,0X04B402013C336A85,268,20,0,21,57029,,
1204,44,0X04B402013C336A85,280,20,0,21,57309,,
1204,44,0X04B402013C336A85,280,20,0,21,57857,,
1204,44,0X04B402013C336A85,268,20,0,21,58673,,
1204,44,0X04B402013C336A85,268,20,0,21,57577,,
1204,44,0X04B402013C336A85,268,20,0,21,58125,,
1204,44,0X04B402013C336A85,280,20,0,21,58953,,
1204,44,0X04B402013C336A85,280,20,0,21,58405,,
1204,44,0X04B402013C336A85,268,20,0,21,59501,,
1204,44,0X04B402013C336A85,280,20,0,21,59233,,
1204,44,0X04B402013C336A85,268,20,0,21,59769,,
1204,44,0X04B402013C336A85,280,20,0,21,60049,,
1204,44,0X04B402013C336A85,268,20,0,21,60865,,
1204,44,0X04B402013C336A85,280,20,0,21,60329,,
1204,44,0X04B402013C336A85,268,20,0,21,60597,,
1204,44,0X04B402013C336A85,268,20,0,21,61413,,
1204,44,0X04B402013C336A85,280,20,0,21,61145,,
1204,44,0X04B402013C336A85,268,20,0,21,61961,,
1204,44,0X04B402013C336A85,280,20,0,21,61693,,
1204,44,0X04B402013C336A85,280,20,0,21,62241,,
1204,44,0X04B402013C336A85,280,20,0,21,63057,,
1204,44,0X04B402013C336A85,268,20,0,21,62777,,
1204,44,0X04B402013C336A85,268,20,0,21,62509,,
1204,44,0X04B402013C336A85,13,20,0,21,413500,,
1204,44,0X04B402013C336A85,13,20,0,21,413513,,
1204,44,0X04B402013C336A85,14,20,0,21,413567,,
1204,44,0X04B402013C336A85,14,20,0,21,413553,,
1204,44,0X04B402013C336A85,13,20,0,21,413580,,
1204,44,0X04B402013C336A85,13,20,0,21,413539,,
